Kode,JK,Usia,Urutan,F1,G1,F2,G2,F3,G3,F4,G4,F5,G5,F6,G6,F7,G7,F8,G8,F9,G9,F10,G10,F11,G11,F12,G12,F13,G13,F14,G14,F15,G15,F16,G16
305,P,17,G→F,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
128,L,18,F→G,2,3,4,3,3,4,2,4,3,2,3,4,4,3,2,4,4,3,3,3,4,4,1,2,3,4,4,3,3,3,4,3
427,P,18,G→F,4,4,2,1,3,1,2,2,5,4,1,2,4,4,3,3,4,5,2,2,5,4,2,1,4,4,1,1,5,5,4,4
40,L,18,F→G,3,4,3,1,4,5,1,1,5,4,1,1,4,4,1,1,3,4,3,1,4,4,1,1,3,3,1,1,5,5,2,1
69,P,17,G→F,4,4,2,3,4,5,1,1,4,5,2,2,3,4,3,3,4,4,3,2,4,5,2,1,5,5,1,1,5,5,3,2
65,P,17,G→F,4,4,3,2,2,1,2,1,5,5,1,1,4,4,2,1,5,5,2,2,5,5,1,1,5,5,1,2,5,5,5,5
297,L,18,G→F,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
3,L,17,F→G,4,3,4,2,4,4,1,2,2,4,3,4,2,4,3,2,2,2,2,4,4,2,3,3,2,4,3,2,2,4,2,2
229,L,17,F→G,3,3,3,3,3,3,3,3,3,3,2,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3
181,L,16,F→G,4,5,2,1,5,5,1,1,5,5,1,1,5,5,1,1,5,5,1,1,5,5,1,1,5,5,1,2,5,5,5,5
332,P,18,G→F,5,5,1,1,5,5,1,1,5,5,1,1,5,5,1,1,5,5,1,1,5,5,1,1,5,5,1,1,5,5,5,5
11,P,18,G→F,5,3,3,3,5,3,1,3,4,3,1,3,5,3,1,3,5,3,2,5,5,2,1,5,4,4,1,2,5,4,5,3
281,P,18,F→G,3,4,3,2,4,3,2,1,5,5,2,1,4,3,2,2,4,4,2,2,5,5,1,1,4,4,2,2,3,3,3,4
168,P,18,F→G,5,4,2,2,5,4,1,2,4,4,1,2,3,4,1,2,5,4,1,2,5,5,1,1,4,4,2,2,4,5,4,4
348,L,18,F→G,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
567,P,17,F→G,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
208,P,18,G→F,5,5,1,1,5,5,1,1,5,5,1,1,5,5,1,1,5,5,1,1,5,5,1,1,5,5,1,1,5,5,1,1
114,L,18,F→G,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
294,P,17,F→G,3,5,2,1,5,5,1,1,4,5,1,1,5,5,1,1,5,5,1,1,5,5,1,1,5,5,1,1,5,5,3,1
110,P,17,G→F,4,4,4,2,5,4,1,2,5,4,1,1,4,4,2,1,4,5,2,1,5,5,2,1,5,4,1,1,5,4,5,4
218,L,17,F→G,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,5,3,5,4
489,L,17,G→F,4,4,3,2,5,5,1,1,4,5,2,1,4,5,1,1,4,5,1,1,5,5,1,1,4,4,3,2,5,5,3,3
420,P,18,F→G,3,4,3,3,3,3,3,3,3,4,3,2,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,2,2,3,3,3
535,P,17,F→G,5,5,2,1,5,5,1,1,5,5,1,1,5,5,1,1,5,5,1,1,5,5,1,1,5,5,1,1,5,5,5,5
348,L,18,G→F,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
99,P,17,F→G,3,5,3,1,3,4,2,1,4,4,1,2,3,4,2,2,4,4,2,2,4,4,2,2,3,3,2,2,4,4,4,4
231,L,17,F→G,5,5,1,1,5,5,1,1,5,5,1,1,5,5,2,2,5,5,2,1,5,5,1,1,5,5,1,1,5,5,1,1
399,L,17,F→G,3,4,3,2,4,4,2,2,4,4,2,2,4,4,2,2,4,4,2,2,4,4,2,2,4,4,2,2,4,4,3,3
247,P,17,F→G,2,2,1,3,3,2,1,2,5,5,1,3,4,2,3,2,3,3,4,1,3,5,2,1,2,3,3,3,2,4,4,4
171,L,18,F→G,5,5,1,1,5,5,1,1,5,5,1,1,5,5,1,1,5,5,1,1,5,5,1,1,5,5,1,1,5,5,1,1
174,L,17,F→G,4,5,2,2,5,5,2,2,5,5,2,2,5,5,2,2,5,5,2,2,5,5,2,2,5,5,2,2,5,5,2,2
57,L,17,G→F,3,4,2,2,3,3,2,2,2,2,4,2,4,2,4,2,3,5,3,3,3,4,4,2,2,4,2,2,5,4,2,4
532,L,18,F→G,3,4,3,3,3,3,5,3,2,3,2,3,2,3,4,4,1,2,2,3,3,2,2,3,3,2,3,2,4,3,3,3
6,P,18,F→G,2,3,3,3,3,4,1,4,5,5,1,1,3,2,2,5,4,1,1,4,5,2,1,3,4,3,1,3,5,1,3,1
205,L,18,F→G,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
142,P,17,F→G,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
581,L,17,G→F,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
398,P,17,F→G,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
314,P,18,F→G,3,4,4,2,4,4,2,2,5,4,2,2,4,4,1,2,4,4,3,2,4,4,2,2,3,4,2,2,4,4,2,2
237,P,16,F→G,3,5,1,1,5,5,1,1,5,5,1,1,4,5,2,1,4,4,2,2,5,5,1,1,4,4,2,1,5,5,1,1
210,L,17,F→G,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
565,P,17,F→G,4,3,3,3,5,5,2,3,4,4,4,2,4,4,2,2,4,4,2,2,5,4,2,2,3,4,2,2,4,4,2,1
154,P,17,G→F,3,4,4,4,5,4,3,3,4,3,2,4,2,3,3,4,4,4,4,3,4,5,3,3,3,4,3,4,5,5,4,4
509,P,17,G→F,2,3,4,2,4,4,3,3,4,4,2,2,2,2,1,3,3,3,2,4,4,5,2,4,3,3,2,4,5,4,3,2
179,P,17,F→G,5,5,2,2,5,5,1,1,5,5,1,1,5,5,2,1,5,5,1,1,5,5,1,1,4,5,1,1,5,5,5,5
287,P,17,F→G,4,5,2,1,4,3,1,1,5,5,2,1,4,4,1,1,5,5,1,1,5,5,1,1,5,5,1,1,5,5,5,5
496,L,17,F→G,4,5,4,3,4,5,2,2,4,4,2,3,4,4,3,3,3,4,3,3,4,4,2,2,4,4,2,2,4,3,4,4
198,L,18,G→F,4,4,2,2,4,3,1,1,3,4,3,3,3,3,3,3,4,4,4,3,3,4,2,2,3,3,3,2,4,4,3,3
201,P,18,F→G,5,5,1,1,4,4,1,1,4,5,5,4,5,4,3,3,4,4,3,3,5,5,1,2,4,4,2,2,5,4,1,2
400,P,17,G→F,4,5,2,1,4,5,2,1,5,5,2,1,5,5,2,1,4,5,2,1,5,5,2,1,4,5,2,1,5,5,5,3
37,P,17,G→F,5,5,1,1,5,5,1,1,5,5,1,1,5,5,1,1,5,5,1,1,5,5,1,1,5,5,1,1,5,5,1,1
378,L,17,G→F,5,5,3,2,4,4,1,1,4,4,2,2,5,4,2,1,5,5,2,1,5,5,1,1,5,5,1,1,5,5,2,1
253,P,18,F→G,5,5,2,3,3,3,1,1,5,5,1,1,2,5,1,2,3,5,1,2,5,5,1,1,5,5,1,1,5,5,1,5
579,P,18,F→G,5,5,1,1,5,5,1,1,5,5,1,1,5,5,1,1,5,5,1,1,5,5,1,1,5,5,1,1,5,5,2,2
547,P,17,G→F,4,1,4,3,5,1,5,5,1,2,4,3,1,1,4,4,1,2,5,5,1,1,4,1,1,1,5,5,3,5,3,4
457,P,18,F→G,4,3,1,1,4,3,1,1,4,3,1,1,4,3,1,1,4,3,1,1,4,3,1,1,4,3,1,1,4,3,1,1
206,L,17,F→G,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
383,L,18,F→G,5,5,1,3,5,5,1,1,4,3,4,4,5,4,3,3,4,3,3,3,5,5,3,1,4,4,4,3,4,4,4,3
535,P,17,F→G,5,5,1,1,5,5,1,1,5,5,1,1,5,5,1,1,5,5,1,1,5,5,1,1,5,5,1,1,5,5,5,5
422,P,18,G→F,4,5,2,1,4,5,1,1,4,5,1,1,5,5,2,1,4,5,1,1,5,5,1,1,3,5,2,1,5,5,4,5
225,L,17,F→G,4,4,1,1,4,4,1,1,4,4,1,1,4,4,1,1,4,4,1,1,4,4,1,1,4,4,1,1,4,4,1,1
334,P,17,F→G,3,4,2,2,4,4,2,2,4,4,4,2,4,4,2,2,4,4,1,2,4,4,2,2,4,4,1,2,4,4,4,4
206,L,17,F→G,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
408,P,17,F→G,4,5,4,1,5,5,1,1,5,5,5,1,5,5,2,1,5,5,1,1,5,5,1,1,5,5,1,1,5,5,5,5
107,P,17,F→G,5,5,2,1,4,3,3,2,4,4,2,1,5,5,2,1,5,5,2,1,5,5,2,1,5,5,1,1,5,5,3,3
287,P,17,F→G,5,4,4,2,4,3,1,1,5,5,1,1,4,4,2,1,5,4,1,1,5,5,1,1,4,5,1,1,5,5,4,5
126,P,17,G→F,4,4,1,1,4,4,1,1,4,4,1,1,3,4,1,1,4,4,1,1,4,4,1,1,4,4,1,1,4,4,4,4
236,P,18,F→G,4,4,3,3,4,4,3,3,4,4,3,3,4,4,3,3,4,4,3,3,4,4,3,3,4,4,3,3,4,4,3,3
456,P,17,G→F,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
450,P,18,F→G,5,5,3,3,5,5,1,1,4,5,1,1,4,4,1,2,4,4,1,1,4,5,1,1,3,4,1,1,3,3,1,1
418,P,17,G→F,4,5,2,1,5,5,1,1,5,5,5,1,5,5,1,1,5,5,1,1,5,5,1,1,1,5,1,1,5,5,5,5
387,P,17,F→G,3,3,3,2,5,4,1,1,5,4,1,1,5,4,2,2,4,4,2,2,5,4,2,2,4,4,4,2,4,4,3,3
214,L,17,F→G,3,3,5,4,5,5,1,1,5,5,1,1,5,4,1,1,4,4,1,1,5,5,1,1,4,4,1,1,5,4,2,2
140,P,17,F→G,5,5,1,1,5,5,1,1,5,5,1,1,5,5,1,1,5,5,1,1,5,5,1,1,5,5,1,1,5,5,3,2
370,L,17,G→F,4,4,3,3,4,4,2,2,5,5,2,2,4,4,2,2,4,4,3,2,4,4,2,2,4,4,2,2,4,4,4,4
109,P,17,G→F,5,5,1,1,2,1,1,1,5,5,1,1,5,5,1,2,5,5,2,1,5,5,2,1,5,5,1,1,5,5,3,3
237,P,16,F→G,4,4,2,1,4,4,2,2,4,4,2,2,4,4,2,2,4,4,2,2,5,4,1,2,3,4,2,2,4,5,2,2
82,P,18,G→F,4,3,3,4,5,5,1,1,5,4,1,1,4,3,1,1,4,5,1,2,3,4,1,1,4,4,1,1,4,3,5,4
55,P,17,F→G,4,5,3,3,4,3,2,3,5,5,1,3,4,5,3,3,5,5,3,3,5,5,1,1,5,5,1,3,5,5,5,5
171,L,18,F→G,4,5,2,2,4,4,1,1,5,5,1,1,5,4,1,1,5,4,2,1,5,5,1,1,4,5,1,1,5,5,2,3
204,L,18,G→F,5,5,1,1,5,5,1,1,5,5,1,1,5,5,1,1,5,5,1,1,5,5,1,1,5,5,1,1,5,5,1,1
553,L,17,F→G,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
294,P,17,F→G,5,5,1,1,5,5,1,1,5,5,1,1,5,5,1,1,5,5,1,1,5,5,1,1,5,5,1,1,5,5,1,1
254,L,18,F→G,4,3,3,2,5,5,2,1,5,5,3,2,4,5,3,3,4,4,2,4,4,4,2,1,5,5,2,2,4,5,1,1
258,P,17,G→F,3,4,3,2,5,4,1,1,5,4,1,1,4,4,2,2,4,3,1,2,4,4,1,1,4,5,1,2,3,4,3,2
256,P,18,F→G,4,3,3,3,5,4,2,2,4,4,2,2,3,3,2,2,4,4,3,2,4,4,2,2,4,3,2,2,4,5,3,3
553,L,17,F→G,3,4,3,2,4,3,1,2,4,4,2,2,3,4,3,2,3,4,4,2,4,4,2,2,4,4,1,2,4,4,2,3
580,P,18,F→G,4,5,2,1,4,5,1,1,5,5,1,1,4,5,1,1,5,5,2,1,4,5,2,1,3,3,3,3,5,5,1,1
79,P,17,F→G,4,5,2,2,4,4,2,2,4,5,1,1,4,4,2,2,4,4,1,2,5,5,2,1,5,4,2,2,5,5,3,3
6,P,18,F→G,5,5,1,1,5,5,1,1,5,5,1,1,5,5,1,1,5,5,1,1,5,5,1,1,5,5,1,1,5,5,5,5
382,P,17,G→F,5,5,3,3,5,5,1,1,5,5,1,1,5,5,3,2,5,5,1,2,5,5,2,1,4,5,1,1,5,5,5,5
269,P,18,F→G,3,3,2,2,3,3,2,2,3,3,2,2,3,3,2,2,3,3,2,2,3,3,1,2,3,3,2,2,3,3,3,3
2,L,18,F→G,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
553,L,17,F→G,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
70,P,18,F→G,1,4,5,5,5,5,3,3,5,4,4,5,3,5,5,5,4,4,5,3,4,5,3,4,3,5,5,4,3,4,5,2
551,L,18,F→G,5,5,1,1,5,5,1,1,5,5,1,1,5,5,1,1,5,5,1,1,5,5,1,1,5,5,1,1,5,5,5,5
404,P,17,F→G,5,5,1,1,5,5,1,1,1,3,1,5,5,3,1,5,5,3,1,1,5,1,1,1,5,5,1,1,5,5,1,1
144,P,18,F→G,4,5,1,1,5,5,1,1,5,5,1,1,5,5,1,1,5,5,1,1,5,5,1,1,4,5,1,1,5,5,5,5
106,L,17,F→G,5,5,4,1,5,5,3,1,5,5,3,1,5,5,1,1,5,5,1,1,5,5,1,1,5,5,1,1,5,5,1,1
497,P,17,G→F,4,4,3,2,4,4,1,1,3,3,1,2,4,4,1,1,3,4,1,2,4,4,1,1,3,3,2,2,5,5,1,2
107,P,17,F→G,4,4,1,2,5,4,1,1,4,5,2,2,4,4,3,4,4,3,2,2,4,4,2,2,5,4,1,1,4,5,3,3
159,L,18,F→G,3,5,4,3,3,5,2,1,4,5,3,1,5,5,1,1,5,4,1,1,5,5,1,1,5,5,1,1,5,5,4,1
510,P,17,G→F,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
203,P,17,G→F,5,4,1,1,5,3,1,1,5,4,1,1,5,4,1,1,5,4,1,1,5,5,1,1,5,5,1,1,5,4,1,1
377,P,17,G→F,4,4,2,2,4,4,1,2,5,4,1,2,2,4,2,2,4,4,2,2,4,4,2,2,4,4,2,2,4,4,2,2
124,L,17,F→G,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
560,P,17,F→G,3,3,3,4,4,5,1,1,4,4,1,2,4,2,1,2,3,4,1,2,3,4,2,1,1,3,1,4,4,4,5,5
84,P,16,F→G,5,5,2,1,1,1,1,1,5,5,1,1,5,5,1,1,5,5,1,1,5,5,2,1,5,2,2,2,5,5,5,5
359,L,17,G→F,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
188,P,18,G→F,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
166,L,17,G→F,4,4,2,3,3,5,1,2,5,5,1,1,5,5,3,2,5,5,3,2,5,5,2,2,5,5,3,2,5,5,3,5
292,P,17,F→G,5,4,4,5,5,4,1,1,5,4,2,5,1,4,1,1,2,4,3,1,5,4,1,1,4,4,3,4,5,5,4,4
555,L,17,F→G,4,4,3,2,5,4,1,1,4,4,2,1,4,4,1,1,4,4,2,1,4,4,2,1,4,4,1,1,4,4,4,4
465,P,18,F→G,4,5,1,1,5,5,1,2,5,4,1,1,4,5,2,1,5,4,1,1,5,4,1,1,4,5,2,1,5,4,5,5
58,P,17,F→G,5,5,3,1,5,5,1,1,5,5,1,5,2,3,1,1,4,5,1,1,5,5,1,1,5,5,1,1,5,5,3,5
41,P,18,F→G,4,5,3,4,4,4,3,2,5,4,5,2,4,4,2,1,4,5,3,4,4,4,2,4,4,4,5,2,4,4,4,4
56,P,17,F→G,4,4,3,2,4,4,2,2,4,4,2,2,3,3,3,3,4,4,3,2,4,4,2,3,3,3,3,2,4,4,4,4
286,P,18,F→G,5,5,5,1,3,4,3,1,4,5,1,1,4,5,1,5,5,5,1,1,5,5,1,1,3,4,1,1,5,5,5,5
59,P,16,G→F,4,5,2,1,4,4,2,2,5,5,2,2,3,3,3,3,4,4,3,2,5,5,1,2,2,4,2,2,4,4,3,2
306,L,17,G→F,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
11,P,18,F→G,5,5,1,1,5,5,1,1,5,5,1,1,5,5,1,1,5,5,1,1,5,5,1,1,5,5,1,1,5,5,5,5
77,P,17,F→G,4,4,3,3,3,5,1,2,4,3,2,3,3,3,4,4,4,4,1,3,4,4,3,2,3,3,3,3,5,5,5,4
436,P,17,F→G,5,5,1,1,5,5,1,1,5,5,1,1,5,5,1,1,5,5,1,1,5,5,1,1,5,5,1,1,5,5,1,1
203,P,17,G→F,5,3,2,1,5,5,1,1,5,4,1,3,5,3,1,1,5,3,1,5,5,3,1,1,4,4,1,1,5,2,1,3
164,P,17,F→G,5,5,1,1,5,5,1,1,5,5,1,1,5,5,2,2,5,5,5,1,5,5,1,1,5,5,1,1,5,5,5,5
68,P,17,F→G,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
170,L,17,F→G,5,5,1,1,5,5,1,1,5,5,1,1,5,5,1,1,5,5,1,1,5,5,1,1,5,5,1,1,5,5,1,1
333,L,18,F→G,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
332,P,18,G→F,5,5,1,1,5,5,1,1,5,5,1,1,5,5,1,1,5,5,1,1,5,5,1,1,5,5,1,1,5,5,5,5
15,L,17,F→G,3,4,2,4,3,5,4,4,3,4,4,5,4,5,2,4,3,3,3,4,4,5,4,5,3,3,3,4,4,4,3,5
521,L,17,G→F,5,5,4,1,5,5,1,1,5,5,1,1,5,5,1,5,5,5,2,1,5,5,1,1,1,5,5,5,5,5,5,5
129,L,18,F→G,4,3,3,3,4,4,3,3,4,4,3,3,4,4,2,3,4,4,3,2,4,3,3,3,3,2,3,3,4,4,4,4
248,P,17,F→G,4,1,3,5,4,5,1,5,4,5,2,5,3,5,4,4,1,4,3,3,4,4,3,4,2,4,4,4,4,4,5,5
479,P,17,F→G,5,5,1,1,5,5,1,1,5,5,1,1,5,5,1,1,5,5,1,1,5,5,1,1,5,5,1,1,5,5,1,1
52,P,17,F→G,4,4,1,1,5,5,1,1,4,4,1,1,4,4,1,1,4,5,1,1,5,4,1,1,4,4,1,1,5,5,4,1
113,P,17,F→G,1,1,5,5,1,2,1,4,1,4,1,5,1,1,5,5,1,1,5,5,1,1,5,5,1,5,4,1,1,1,1,5
462,P,17,F→G,3,4,3,4,4,3,2,3,3,3,3,3,3,3,3,4,5,4,4,3,4,3,3,3,3,2,3,3,3,4,3,4
202,P,17,F→G,5,5,3,1,5,5,1,1,5,5,2,5,4,5,2,2,5,5,1,1,5,5,1,1,5,5,1,1,5,5,1,2
401,P,17,F→G,5,5,1,1,5,5,1,1,5,5,1,1,5,5,1,1,5,5,1,1,5,5,1,1,5,5,1,1,5,5,2,1
133,L,18,F→G,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
266,L,17,F→G,3,4,4,2,5,4,2,2,4,5,2,2,4,3,5,2,5,5,2,2,5,5,2,2,3,4,2,2,5,5,5,4
45,L,18,F→G,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
492,L,17,G→F,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
165,L,17,G→F,3,3,3,2,4,3,2,2,4,3,3,3,3,3,3,2,3,3,1,2,3,3,2,2,3,3,2,2,4,4,3,4
235,P,18,F→G,4,4,1,1,5,5,1,1,5,5,1,1,5,4,1,1,4,4,2,1,5,4,1,1,4,4,1,1,5,4,4,4
162,P,17,F→G,4,5,2,2,5,5,1,1,4,5,1,1,4,4,1,1,5,5,1,1,5,5,1,1,4,5,1,1,5,5,1,1
367,L,17,F→G,4,5,2,1,4,5,1,1,5,5,1,1,5,5,3,5,5,5,2,1,5,5,2,2,5,5,1,1,5,5,5,4
217,P,18,G→F,3,3,2,2,4,4,2,2,4,4,2,2,3,3,2,2,3,3,3,2,4,4,2,2,3,3,2,2,4,4,2,1
88,L,17,G→F,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
455,L,18,F→G,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
234,P,17,F→G,3,4,3,3,4,5,3,2,4,4,1,2,4,5,2,1,4,4,3,2,4,5,2,2,4,4,3,2,5,5,3,4
66,P,17,F→G,4,4,3,3,4,3,2,2,4,4,2,2,4,4,1,3,3,4,2,3,5,4,2,2,3,3,2,3,5,5,4,4
369,L,17,F→G,3,4,3,3,4,4,2,2,2,4,4,3,4,4,3,2,3,4,3,2,3,4,4,2,3,4,4,2,4,4,4,2
172,P,17,G→F,4,5,4,1,5,5,2,1,5,5,1,1,5,5,1,1,5,5,1,1,4,5,1,1,5,5,1,1,5,5,5,1
98,P,18,F→G,4,3,3,4,4,5,2,2,4,5,3,3,2,3,3,3,4,3,2,3,5,4,3,2,4,4,2,4,4,4,4,3
531,P,17,F→G,4,4,2,2,4,4,2,4,4,3,2,4,2,3,3,3,4,3,2,3,4,3,3,3,4,3,2,3,3,3,3,5
376,L,17,G→F,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
454,P,18,F→G,4,4,3,2,4,5,1,1,4,4,1,1,3,4,3,2,4,4,3,4,4,4,1,2,3,3,1,2,5,5,5,4
321,P,17,G→F,4,1,4,5,5,1,2,2,5,1,2,1,5,3,5,5,5,2,3,5,5,2,4,5,4,3,3,5,5,5,4,2
431,L,18,F→G,5,5,2,1,4,5,1,1,5,4,1,1,5,5,1,1,5,5,1,1,5,5,1,1,4,5,1,2,5,5,5,5
290,P,17,F→G,5,5,1,1,5,5,1,1,5,5,1,1,5,5,1,1,5,5,1,1,5,5,1,1,5,5,1,1,5,5,1,1
223,P,17,F→G,4,5,4,2,5,5,1,1,5,4,1,1,4,4,3,3,4,4,2,3,4,5,1,2,4,4,2,1,5,5,4,4
270,P,17,F→G,4,4,3,2,4,4,2,2,4,4,4,2,4,4,2,2,4,4,2,2,4,4,2,2,4,4,2,2,4,4,4,4
218,L,17,G→F,5,5,4,4,3,4,4,3,4,3,4,2,5,3,2,2,4,4,2,4,4,3,2,5,3,3,3,4,4,5,4,4
209,P,17,F→G,3,3,3,3,4,4,2,1,4,4,5,4,4,3,2,2,4,4,1,1,4,4,1,2,3,4,1,1,4,4,3,3
551,L,18,G→F,2,1,4,4,4,1,4,4,1,1,4,4,1,1,4,4,4,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4
578,L,18,F→G,3,2,3,5,1,1,4,4,2,3,4,4,3,2,1,4,2,2,3,4,2,2,4,4,3,2,5,4,2,2,2,2
221,P,18,F→G,4,5,2,2,5,5,3,2,5,5,2,2,4,5,3,2,5,5,3,2,5,5,3,2,3,5,3,2,5,5,4,5
564,P,18,G→F,4,5,2,1,4,5,1,1,5,5,1,1,5,5,1,1,5,5,1,1,5,5,1,1,5,5,1,1,5,5,1,1
425,P,17,G→F,4,4,3,2,4,4,1,1,4,4,1,1,3,4,1,2,4,4,2,2,4,4,2,2,4,4,2,2,4,5,2,2
10,P,17,F→G,2,3,3,3,3,4,1,2,5,5,1,1,3,3,2,5,5,4,1,3,5,3,1,3,4,4,1,1,5,4,2,1
128,L,17,F→G,3,3,3,3,3,3,3,3,3,3,3,4,3,2,3,3,3,4,3,2,3,3,3,4,3,3,3,2,3,3,3,4
576,L,17,F→G,2,5,3,4,5,5,2,1,4,4,3,1,4,4,3,1,5,5,2,1,5,5,1,1,4,4,1,2,5,5,5,5
216,L,18,G→F,5,4,2,2,5,5,2,2,5,5,2,2,5,5,2,2,5,5,2,2,4,5,2,2,4,5,2,2,4,5,2,2
213,L,18,F→G,3,3,5,3,4,3,3,3,2,3,3,3,3,3,2,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
173,L,18,G→F,3,4,3,2,4,3,2,2,3,3,3,3,3,3,3,3,4,4,4,3,4,4,3,3,3,3,3,4,4,4,3,3
397,L,18,F→G,4,5,1,1,4,5,1,2,4,5,1,2,4,5,1,1,5,5,1,1,5,5,1,2,5,5,1,1,4,5,2,1
536,L,17,G→F,1,4,5,4,5,4,2,4,4,4,4,4,4,4,4,4,4,4,4,5,4,5,4,5,4,4,4,5,4,4,4,5
300,P,7,G→F,2,5,2,3,4,2,4,2,3,4,3,4,4,3,4,4,3,3,3,4,5,4,3,2,2,3,1,3,3,3,2,3
146,P,17,F→G,4,4,1,1,4,4,1,2,5,5,1,1,4,5,4,1,4,3,1,1,4,4,1,1,4,4,1,1,5,5,5,5
316,P,17,F→G,3,3,2,2,3,3,1,1,3,3,1,1,3,3,2,2,3,3,2,2,3,3,1,1,3,3,1,1,3,3,3,3
289,P,17,F→G,5,4,4,2,4,3,1,1,5,5,1,1,5,5,2,1,5,4,1,1,5,5,1,1,4,5,1,1,5,5,4,5
231,L,17,G→F,5,5,1,1,5,5,1,1,5,5,1,1,5,5,1,1,5,5,1,1,5,5,1,1,5,5,1,1,5,5,1,1
39,L,18,F→G,3,4,2,2,5,3,1,2,4,4,3,4,4,4,4,2,3,3,2,3,4,3,3,3,2,4,3,4,4,5,2,3
443,P,18,F→G,4,4,2,2,5,4,1,1,4,4,3,2,3,3,3,3,5,4,2,2,4,4,2,2,4,4,2,1,4,4,4,4
361,P,17,F→G,4,4,3,3,4,5,2,2,3,5,3,2,4,3,3,2,4,4,2,2,5,5,2,2,4,5,2,1,5,5,3,3
205,L,18,F→G,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
