Kode,JK,Usia,Urutan,F1,G1,F2,G2,F3,G3,F4,G4,F5,G5,F6,G6,F7,G7,F8,G8,F9,G9,F10,G10,F11,G11,F12,G12,F13,G13,F14,G14,F15,G15,F16,G16
457,P,18,G→F,3,3,3,2,4,3,1,1,4,3,1,1,3,3,1,1,4,3,1,1,4,3,1,1,4,3,1,1,4,3,1,1
8,P,17,F→G,4,3,2,2,3,4,2,2,4,3,2,2,4,4,2,2,4,4,2,2,3,4,2,2,3,4,2,2,3,4,2,2
146,P,17,G→F,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
329,P,17,G→F,5,5,3,3,5,5,1,1,5,5,1,1,5,5,2,1,5,5,1,1,5,5,1,1,5,5,1,1,5,5,5,1
142,P,17,F→G,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
145,P,18,G→F,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
51,P,17,F→G,5,5,1,1,5,5,1,1,5,5,1,5,5,5,1,1,5,5,2,2,5,5,1,1,5,5,1,1,5,5,5,5
285,P,17,F→G,3,4,3,1,3,4,2,1,3,5,1,1,4,5,2,3,4,4,4,3,5,5,2,1,4,5,1,1,4,4,4,4
304,L,17,G→F,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
115,P,17,F→G,4,4,3,2,4,4,2,2,4,4,2,4,3,3,2,3,4,4,3,2,4,4,2,2,3,3,3,3,3,4,4,4
222,P,17,F→G,4,5,3,3,4,4,2,2,4,5,2,2,3,3,3,4,5,4,2,3,5,4,2,2,3,4,2,2,4,4,4,4
64,P,18,G→F,5,5,3,2,5,5,2,2,5,5,2,2,5,5,1,2,5,5,1,2,5,2,1,2,5,5,1,2,5,5,5,5
522,L,18,G→F,4,5,2,2,5,5,1,1,5,5,1,1,3,3,1,2,5,5,2,1,4,5,1,2,5,5,1,1,4,5,3,3
508,P,17,F→G,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
263,P,17,G→F,5,5,2,1,5,5,1,1,5,5,1,1,5,5,1,1,5,5,1,1,5,5,1,1,5,5,1,1,5,5,4,3
529,P,17,G→F,4,5,2,1,5,5,1,1,5,5,1,1,5,5,1,1,5,5,1,1,5,5,1,1,5,5,1,1,5,5,3,1
486,P,17,G→F,3,4,4,4,4,4,2,2,4,4,2,2,4,3,3,4,3,4,3,3,4,4,4,3,4,4,4,2,5,4,4,4
423,P,18,G→F,5,5,1,1,5,5,1,1,5,5,1,1,5,5,1,1,5,5,1,1,5,5,1,1,5,5,1,1,5,5,4,1
504,P,18,F→G,4,4,2,2,4,4,2,2,4,4,2,2,4,4,3,2,3,3,3,3,3,3,2,3,3,3,3,3,4,3,3,3
143,P,17,G→F,4,5,4,2,4,5,2,2,5,5,2,1,5,5,2,2,5,5,2,2,5,5,1,1,5,4,1,1,5,5,5,5
107,P,17,F→G,4,4,2,1,4,5,1,1,5,5,2,1,4,4,3,1,3,5,3,2,4,4,1,2,5,4,1,2,3,4,3,3
405,P,18,F→G,3,3,4,4,3,1,5,5,2,1,4,4,2,3,5,5,3,2,5,5,1,1,3,4,2,1,5,5,4,4,3,3
151,L,18,F→G,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
182,P,18,G→F,5,5,2,1,5,5,1,1,5,5,1,1,5,5,1,1,5,5,2,1,5,5,1,1,5,5,1,1,5,5,1,1
419,P,18,F→G,4,4,3,2,4,4,2,2,5,4,2,2,4,4,3,3,4,3,3,3,4,3,2,3,3,3,3,3,4,4,4,2
44,L,18,F→G,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
178,L,17,F→G,4,4,4,3,4,4,1,1,5,5,1,2,4,5,1,2,4,4,1,2,5,5,1,2,1,4,1,2,5,5,2,2
